iter	Logloss
0	0.6787098949
1	0.6662985239
2	0.6543934329
3	0.6436538102
4	0.6326356821
5	0.6213486429
6	0.611344628
7	0.6006173735
8	0.5904954997
9	0.5813611181
10	0.5723814959
11	0.5628520875
12	0.555450294
13	0.5458742453
14	0.5387650061
15	0.5315803884
16	0.5236515717
17	0.5174724534
18	0.5096558451
19	0.5027078724
20	0.4966812722
21	0.4909953245
22	0.4844551427
23	0.4785481027
24	0.4729585404
25	0.467782071
26	0.4621941117
27	0.4575136249
28	0.4522455892
29	0.4465093723
30	0.4420937057
31	0.4361467367
32	0.4318279514
33	0.4275122832
34	0.4241781702
35	0.4205723177
36	0.4167742107
37	0.4125764497
38	0.4094498555
39	0.4046333695
40	0.4011899834
41	0.3979664051
42	0.3955051457
43	0.3927819089
44	0.3905872757
45	0.3873737527
46	0.3845841698
47	0.3818919579
48	0.3791014126
49	0.3768246463
50	0.3743072618
51	0.3714474416
52	0.3690392235
53	0.3667469827
54	0.3644686313
55	0.3618749921
56	0.3588640174
57	0.3564171451
58	0.3543048632
59	0.3521710953
60	0.3505438069
61	0.3488320465
62	0.3463155743
63	0.3440172054
64	0.3430767446
65	0.3411598623
66	0.3393826013
67	0.3378993729
68	0.336739985
69	0.3357606073
70	0.3336372611
71	0.3317938035
72	0.3294888637
73	0.3280431211
74	0.3266854225
75	0.325348409
76	0.324469946
77	0.3225779658
78	0.3213663102
79	0.3199451709
80	0.3189176668
81	0.3174146032
82	0.3160432361
83	0.3143516328
84	0.3131195022
85	0.3120220253
86	0.3109319892
87	0.309761807
88	0.3086360938
89	0.3071899947
90	0.3058163436
91	0.3048815687
92	0.3033378506
93	0.3022301734
94	0.3015138676
95	0.3003384711
96	0.299483103
97	0.2979239311
98	0.2967779699
99	0.2955737536
100	0.2948190227
101	0.2940942709
102	0.2931912664
103	0.2918784272
104	0.2905343002
105	0.2895345339
106	0.2885539453
107	0.2874789922
108	0.2864593396
109	0.2858159278
110	0.2849913144
111	0.2837246262
112	0.28267229
113	0.2821215768
114	0.2815365828
115	0.2801735449
116	0.2795469733
117	0.2787937884
118	0.2778068048
119	0.2770068802
120	0.2761539521
121	0.2755401817
122	0.2749029774
123	0.274119954
124	0.2731764674
125	0.2724571772
126	0.2716725105
127	0.2706654692
128	0.2695553087
129	0.2687489149
130	0.267869123
131	0.2674242585
132	0.266777878
133	0.2660271904
134	0.2654127227
135	0.2647410105
136	0.2641549301
137	0.2635599144
138	0.2629023541
139	0.2619658632
140	0.2611820588
141	0.2606692558
142	0.2601440333
143	0.2592322146
144	0.2584934843
145	0.2576664325
146	0.2571734867
147	0.2558503267
148	0.2548557988
149	0.2543468631
150	0.2538910184
151	0.253014698
152	0.2527531909
153	0.2524184904
154	0.2518536371
155	0.251318224
156	0.2507150334
157	0.2503528984
158	0.2490970815
159	0.2486564387
160	0.2478861832
161	0.2473541159
162	0.2466831856
163	0.246008282
164	0.2455938533
165	0.2449672866
166	0.2444576999
167	0.2441999815
168	0.2434933817
169	0.2428286618
170	0.2422676359
171	0.2418463722
172	0.2411157993
173	0.2406585477
174	0.2402574292
175	0.239328936
176	0.2389870484
177	0.2382465559
178	0.2375230717
179	0.2371823903
180	0.2364229689
181	0.2360974119
182	0.2356633487
183	0.2351866216
184	0.2346394149
185	0.2342398557
186	0.2339504398
187	0.2336475005
188	0.2333403942
189	0.232788287
190	0.2323630834
191	0.2319925841
192	0.2313982067
193	0.2307005103
194	0.2302041591
195	0.2296248524
196	0.2292007948
197	0.2288532783
198	0.2283344445
199	0.2277891746
200	0.2275710181
201	0.227060516
202	0.2266063872
203	0.2258215131
204	0.2254700716
205	0.2250620227
206	0.2247729339
207	0.2242049321
208	0.2238846857
209	0.2234461549
210	0.2229811755
211	0.2226229363
212	0.2222347434
213	0.2219386928
214	0.2214003955
215	0.2210341453
216	0.2203646326
217	0.2201257353
218	0.2196908174
219	0.2192508847
220	0.2188136629
221	0.2185807686
222	0.2179209541
223	0.2175550349
224	0.2172655037
225	0.2169375014
226	0.2166987812
227	0.2163341455
228	0.2160359135
229	0.2156170072
230	0.2152810396
231	0.2149633397
232	0.2144112742
233	0.214085919
234	0.2138946565
235	0.2135405564
236	0.2130043874
237	0.2125815758
238	0.2122623414
239	0.211773381
240	0.2114344101
241	0.2109937661
242	0.2105677181
243	0.2102193598
244	0.2098523507
245	0.2094924994
246	0.2093248756
247	0.2090763949
248	0.2088919361
249	0.2084380939
250	0.2081505534
251	0.2078973862
252	0.2074721397
253	0.2072379205
254	0.2067945193
255	0.206343168
256	0.2058599765
257	0.2053288141
258	0.2050053677
259	0.2046622882
260	0.2042089203
261	0.2038367995
262	0.2035969769
263	0.2033706497
264	0.2031253248
265	0.2026888496
266	0.2020802527
267	0.2016279337
268	0.2012268436
269	0.20088863
270	0.2004789848
271	0.2004062663
272	0.2001948224
273	0.1997914456
274	0.1995547048
275	0.1991896064
276	0.1988691277
277	0.198549511
278	0.1981222343
279	0.1977500456
280	0.1971347378
281	0.1968800709
282	0.1966238529
283	0.1964232373
284	0.1961136496
285	0.1958173777
286	0.1954700134
287	0.1953615216
288	0.1950716472
289	0.1948051327
290	0.1946091575
291	0.1943530558
292	0.1939424798
293	0.1937528188
294	0.1932146662
295	0.1929206348
296	0.1924860984
297	0.1920690738
298	0.1917013525
299	0.1914542197
300	0.1910711093
301	0.1908589509
302	0.1905197019
303	0.1901602672
304	0.1898709919
305	0.1895675608
306	0.1891165153
307	0.189045598
308	0.1887974217
309	0.1883883059
310	0.1881567633
311	0.1878954207
312	0.1874599109
313	0.187067606
314	0.1866447042
315	0.1861521539
316	0.1858397023
317	0.1855811872
318	0.1851525255
319	0.1847971468
320	0.1846057308
321	0.1843525853
322	0.1840821712
323	0.1836549547
324	0.183476775
325	0.1833161308
326	0.183126332
327	0.1827926753
328	0.1824126753
329	0.1820905868
330	0.1813518738
331	0.1810052103
332	0.1806261405
333	0.180460669
334	0.1801672861
335	0.17987451
336	0.1795065632
337	0.1792353399
338	0.1790817049
339	0.1788774372
340	0.1786442536
341	0.178328936
342	0.1780072166
343	0.1777668113
344	0.1775441678
345	0.1770153118
346	0.1767725344
347	0.1765919803
348	0.1764158765
349	0.1762100043
350	0.1758066819
351	0.1755943944
352	0.1753364417
353	0.1751133097
354	0.1748404356
355	0.1746409903
356	0.1743139078
357	0.1741047353
358	0.173950251
359	0.1737151977
360	0.173320981
361	0.1731376449
362	0.1727738896
363	0.1724762063
364	0.1720871604
365	0.1718283763
366	0.1714144701
367	0.1712308526
368	0.1704952844
369	0.1701777606
370	0.1696712155
371	0.1692062174
372	0.1690440031
373	0.1688016838
374	0.1685825851
375	0.1683483972
376	0.1682325673
377	0.1678685398
378	0.1676001766
379	0.1670822533
380	0.166652763
381	0.1664095163
382	0.1659462678
383	0.165586713
384	0.1653662535
385	0.1650707161
386	0.1648476249
387	0.1646994374
388	0.1644249844
389	0.1640501941
390	0.1638153347
391	0.1633163644
392	0.1629456934
393	0.1627250112
394	0.1625637998
395	0.1621987262
396	0.1619866202
397	0.1615585683
398	0.1613328774
399	0.1610523792
400	0.1608669514
401	0.1606499199
402	0.1602442786
403	0.1599649541
404	0.1595482351
405	0.1593112601
406	0.1590037216
407	0.1587493419
408	0.1584462856
409	0.1581629821
410	0.1579584977
411	0.1574560039
412	0.1571826767
413	0.156922817
414	0.1565287669
415	0.1562670261
416	0.1560578849
417	0.1557432727
418	0.1555399503
419	0.1552993631
420	0.1550423488
421	0.1547484068
422	0.154438616
423	0.1542723851
424	0.1539682441
425	0.1536151095
426	0.1533658719
427	0.1529074058
428	0.1525975135
429	0.1523766543
430	0.1520705704
431	0.1519471705
432	0.1517482714
433	0.1512971175
434	0.1509991012
435	0.150622374
436	0.1502543577
437	0.1501308471
438	0.1497051374
439	0.1494433174
440	0.1492850602
441	0.1488232233
442	0.1486663761
443	0.1485178974
444	0.1482901404
445	0.1481501463
446	0.1479057046
447	0.1476934997
448	0.1474906462
449	0.1473630134
450	0.1469777365
451	0.1467627253
452	0.1464440411
453	0.1460653017
454	0.1459003011
455	0.1455494921
456	0.1452864456
457	0.1451025433
458	0.1448380492
459	0.1447829188
460	0.1444820702
461	0.1444255311
462	0.143989489
463	0.1436648667
464	0.1434887354
465	0.1432133243
466	0.1430506883
467	0.1427712209
468	0.1424882291
469	0.1421991711
470	0.1420379934
471	0.141749015
472	0.1414952357
473	0.1413498801
474	0.1410865628
475	0.1408401518
476	0.140715972
477	0.1401734961
478	0.1399536868
479	0.139767908
480	0.1394508866
481	0.1392925534
482	0.1390725745
483	0.1387805135
484	0.1385143851
485	0.1384532959
486	0.1381649739
487	0.1378891036
488	0.1377179605
489	0.1373952025
490	0.137131422
